DATE,AAPL US Equity,MSFT US Equity,FB US Equity,GOOGL US Equity,V US Equity,INTC US Equity,CSCO US Equity,MA US Equity,JNJ US Equity,UNH US Equity,PFE US Equity,MRK US Equity,BRK/B US Equity,JPM US Equity,BAC  US Equity,WFC US Equity,AMZN US Equity,HD US Equity,DIS US Equity,NFLX US Equity,BA US Equity,MMM US Equity,GE US Equity,PG US Equity,KO US Equity,XOM US Equity,CVX US Equity,NEE US Equity,AMT US Equity,DWDP US Equity,T US Equity
2016-07-07,95.94,51.38,115.85,707.26,74.51,33.2,28.74,87.81,122.51,140.8,35.77,58.78,141.91,60.58,13.01,46.8,736.57,131.16,98.41,95.1,127.17,174.87,31.82,84.83,45.09,92.96,103.05,128.33,112.2,48.2,42.3
2016-07-08,96.68,52.3,117.24,717.78,76.42,34,29.26,88.56,122.85,141.27,36.12,59.35,143.65,61.83,13.17,47.79,745.81,134.34,99.62,97.06,130.09,177.12,32.2,85.77,45.38,93.54,104.77,129.93,113.66,49.4,42.61
2016-07-11,96.98,52.59,117.87,727.2,76.52,34.38,29.43,88.75,122.93,140.32,36.15,59.34,143.93,62.27,13.21,48.08,753.78,135.15,99.98,94.67,132.04,178.01,32.21,85.75,45.57,93.89,105.39,129.69,114.67,49.85,42.51
2016-07-12,97.42,53.21,117.93,732.51,77.48,34.94,29.61,90,122.92,139.86,36.24,59.6,144.67,63.2,13.54,48.35,748.21,134.84,100.2,95.97,130.81,179.16,32.26,85.75,45.58,94.95,106.78,127.33,116.1,50.95,42.41
2016-07-13,96.87,53.51,116.78,729.48,77.46,35.01,29.75,90.34,123,141.48,36.31,59.55,145.93,63.16,13.44,48.27,742.63,133.56,99.88,96.43,130.11,179.21,32.36,85.89,45.74,94.88,106.65,128.17,116.01,51.18,42.59
2016-07-14,98.79,53.74,117.29,735.8,78.14,35.2,29.76,91.45,123.18,140.84,36.92,59.65,145.73,64.12,13.65,48.94,741.2,134.54,99.97,98.02,131.55,180.9,32.63,85.87,45.69,94.95,106.7,127.24,117,51.8,42.77
2016-07-15,98.78,53.7,116.86,735.63,78.3,35.07,29.82,90.93,123,141.33,36.77,59.63,145.97,64.18,13.66,47.71,735.44,134.78,99.8,98.39,132.39,181.4,32.88,86.01,45.63,95.12,107.03,127.58,116.82,52.06,42.89
2016-07-18,99.83,53.96,119.37,753.2,78.31,35.05,29.91,91.6,123.14,140.75,36.64,59.02,146.57,63.96,14.11,48.28,736.07,136.34,100.15,98.81,133.43,181.11,32.91,85.93,45.63,94.82,106.09,128.25,116.3,52.6,42.85
2016-07-19,99.87,53.09,120.61,753.41,78.72,35.15,29.92,92.38,125.25,142.59,36.64,58.66,146.92,63.86,14.26,48.37,739.95,136.98,99.47,85.84,134.66,181.24,32.93,86.17,45.63,94.47,106.04,128.09,117.37,52.36,42.77
2016-07-20,99.96,55.91,121.92,757.08,79.36,35.69,30.63,93.3,125.14,143.02,36.68,58.79,146.17,63.93,14.4,48.61,745.72,137.41,98.22,87.91,134.72,181.42,32.78,85.32,45.51,93.93,105.59,127.21,117.73,52.95,42.71
2016-07-21,99.43,55.8,120.61,754.41,78.79,34.27,30.58,92.46,125.15,142.87,36.71,58.79,144.35,63.69,14.27,48.3,744.43,136.07,98.01,85.99,133.53,180.26,32.59,85.26,45.45,93.85,105.39,128.26,117.55,52.5,42.52
2016-07-22,98.66,56.57,121,759.28,79.91,34.66,30.71,93.66,125.03,143.69,36.74,58.82,144.6,64.04,14.38,48.32,744.86,136.52,97.71,85.89,133.47,180.44,32.06,85.72,45.83,94.01,105.66,129.81,117.84,53.12,43.11
2016-07-25,97.34,56.73,121.63,757.52,78.94,34.69,30.79,93,124.89,141.73,36.78,58.56,144.14,63.87,14.37,48.12,739.61,136.5,97.39,87.66,132.94,179.63,31.64,85.8,45.57,92.2,103.07,129.49,116.87,53.27,42.94
2016-07-26,96.67,56.76,121.22,757.65,78.49,35.09,30.88,93.43,125.15,141.7,36.83,58.36,144.34,64.13,14.53,47.97,735.59,136.75,96.69,91.41,134.85,177.66,31.47,85.27,44.88,91.53,102.68,128.43,116.97,53.54,42.38
2016-07-27,102.95,56.19,123.34,761.97,78.53,34.83,30.76,93.75,124.77,141.68,36.85,58.6,144.19,64.33,14.63,48,736.67,136.31,96.33,92.04,135.96,178.27,31.28,84.46,43.4,90.91,102.26,127.17,117.61,53.63,42.76
2016-07-28,104.34,56.21,125,765.84,79.19,34.77,30.52,96.01,124.46,142.76,36.67,58.43,144.42,64.1,14.68,48.13,752.61,137.96,95.91,91.65,133.01,177.98,31.25,84.81,43.65,90.2,101.79,127.42,116.65,53.67,42.58
2016-07-29,104.21,56.68,123.94,791.34,78.05,34.86,30.53,95.24,125.23,143.2,36.89,58.66,144.27,63.97,14.49,47.97,758.81,138.24,95.95,91.25,133.66,178.36,31.14,85.59,43.63,88.95,102.48,128.29,115.77,53.67,43.29
2016-08-01,106.05,56.58,124.31,800.94,78.26,34.85,30.73,95.07,125.4,143.51,37.31,58.66,143.93,63.8,14.33,47.81,767.74,138.77,95.54,94.37,133.21,178.29,31.15,86.41,43.45,85.86,99.11,128.5,117.04,53.65,43.18
2016-08-02,104.48,56.58,123.09,800.12,78.28,34.56,30.62,95.25,124.85,143.17,36.39,58.33,143.31,63.65,14.13,47.7,760.58,137.22,95.01,93.56,131.6,178.36,31.05,86.76,43.53,87.04,99.59,127.63,116.74,53.13,43.16
2016-08-03,105.79,56.97,122.51,798.92,78.71,34.25,30.72,95.08,123.9,142.88,35.29,57.65,143.63,64.66,14.48,47.57,754.64,137.06,96.09,93.1,131.87,178.38,31.13,85.97,43.64,87.49,100.61,128.09,115.73,53.43,43.14
2016-08-04,105.87,57.39,124.36,797.25,79.48,34.58,30.8,95.91,123.86,142.71,35.15,57.84,143.12,64.56,14.48,47.84,760.77,136.05,95.16,93.44,131.21,177.81,31.17,86.05,43.51,87.48,100.39,127.45,116.42,53.49,43.08
2016-08-05,107.48,57.96,125.15,806.93,80.14,34.98,31.04,96.88,124.24,142.99,35.44,63.86,145.65,66.3,15.05,48.68,765.98,136.91,95.83,97.03,131.73,178.57,31.28,85.78,43.48,87.56,100.51,125.99,116.58,53.64,43.16
2016-08-08,108.37,58.06,125.26,805.23,79.95,35.04,31.01,96.78,123.65,142.13,34.93,62.86,145.56,66.1,15.13,48.91,766.56,136.21,95.75,95.11,132.19,178.58,31.27,85.76,43.44,88.59,101.2,125.99,115.73,53.6,42.93
2016-08-09,108.81,58.2,125.06,807.48,80.06,34.92,30.94,96.7,123.43,141.82,35.08,62.49,147.22,65.87,15.19,48.93,768.31,136.11,96.67,93.99,132.62,178.39,31.3,85.99,43.47,88.7,101.32,126.07,115.92,53.39,43.08
2016-08-10,108,58.02,124.88,808.49,79.68,34.53,30.85,96.29,123.36,142.19,35.13,62.64,146.69,65.28,14.81,48.18,768.56,135.6,97.86,93.93,132.28,178.82,31.27,86.31,43.61,86.41,100.14,126.37,116.24,53.45,43.2
2016-08-11,107.93,58.3,124.9,808.2,80.12,34.68,30.95,96.53,123.77,142.63,35.15,63.63,147.74,65.46,14.88,48.24,771.24,137.04,97.77,95.89,133,181,31.29,86.73,43.75,86.72,101.4,127.02,115.89,53.64,43.39
2016-08-12,108.18,57.94,124.88,807.05,80.02,34.57,30.87,96.12,123.22,142.88,34.98,63.35,147.72,65.32,14.91,47.9,772.56,136.57,96.84,96.59,133.1,180.27,31.24,87.04,44.03,87.85,102.16,126.79,116.5,52.33,43.28
2016-08-15,109.48,58.12,123.9,805.96,80.91,34.91,31.19,96.44,122.31,141.62,35.11,63.32,147.78,65.72,15.02,48.27,768.49,137.06,97.1,95.31,134.66,180.56,31.24,87.02,44.24,87.81,102.77,125.32,115.79,52.79,43.02
2016-08-16,109.38,57.44,123.3,801.19,80.81,35.21,31.12,95.62,120.33,141.08,34.79,63.04,147.24,65.71,15.17,48.44,764.04,136.23,96.88,95.12,135,179.25,31.19,86.58,43.83,87.92,102.62,123.99,114.12,52.36,41.96
2016-08-17,109.22,57.56,124.37,805.42,80.84,35.02,30.72,95.59,121.31,141.71,35.14,63.29,149.08,65.89,15.15,48.61,764.63,136.15,96.87,96.37,134.72,179.87,31.29,86.96,44.06,88.11,102.22,125.8,114.56,52.64,41.86
2016-08-18,109.08,57.6,123.91,802.75,80.27,34.97,30.48,95.27,120.72,142.17,35.19,63.63,148.81,65.95,15.16,48.53,764.46,134.8,96.65,96.16,135,179.18,31.43,87.44,44.1,88.91,103.55,126.96,114.35,53.23,41.4
2016-08-19,109.36,57.62,123.56,799.65,80.47,35.24,30.52,95.22,119.92,142.04,34.98,63.36,148.75,65.86,15.22,48.65,757.31,135.46,96.39,95.87,134.44,179.61,31.25,87.31,43.92,87.8,102.32,125.08,113.61,53.42,41.01
2016-08-22,108.51,57.67,124.15,796.95,81.06,35.36,30.63,95.79,119.13,142.09,34.84,63.55,148.45,65.8,15.18,48.63,759.48,135.34,95.87,95.26,134.99,179.07,31.32,86.85,43.74,87.99,101.94,125.04,114.62,53.5,40.91
2016-08-23,108.85,57.89,124.37,796.59,80.8,35.4,30.98,96.29,119.44,142.01,35.09,63.58,148.77,65.77,15.35,48.41,762.45,136.22,95.97,95.94,134.14,179.77,31.23,87.4,43.85,87.72,101.68,124.27,115.22,53.78,40.85
2016-08-24,108.03,57.95,123.48,793.6,80.29,35.15,31.06,95.53,118.71,139.87,34.82,62.73,148.41,65.95,15.4,48.63,757.25,135.06,95.82,95.18,133.29,179.41,31.22,87.31,43.85,88.02,102.2,124.15,114.57,53.61,40.87
2016-08-25,107.57,58.17,123.89,791.3,80.32,35.09,31.29,95.59,118.57,137.3,34.77,62.32,148.64,66.07,15.53,48.38,759.22,135.43,95.55,97.32,132.98,179.58,31.21,87.9,43.67,87.46,101.89,124.51,114.25,54.02,41.07
2016-08-26,106.94,58.03,124.96,793.22,80.57,35.26,31.35,96.47,119.04,136.62,34.82,62.85,147.91,66.22,15.79,48.51,769,134.36,95.21,97.58,132.23,179.41,31.23,87.58,43.32,87.27,101.32,121.62,113.23,53.63,40.68
2016-08-29,106.82,58.1,126.54,795.82,80.87,35.55,31.58,96.78,119.92,137.27,35.11,63.01,149.3,66.95,15.84,49.56,771.29,135.24,94.87,97.3,132.9,180.5,31.36,88.3,43.54,87.84,102.05,122.34,113.84,54.13,41
2016-08-30,106,57.89,125.84,791.92,81.17,35.7,31.54,97.09,119.47,136.87,34.88,62.71,150.23,67.5,16.19,50.62,767.58,134.1,94.86,97.45,130.81,180.15,31.37,87.54,43.24,87.52,101.7,121.22,113.22,53.99,40.89
2016-08-31,106.1,57.46,126.12,789.85,80.9,35.89,31.44,96.63,119.34,136.05,34.8,62.79,150.49,67.5,16.14,50.8,769.16,134.12,94.46,97.45,129.45,179.24,31.24,87.31,43.43,87.14,100.58,120.94,113.38,53.64,40.88
2016-09-01,106.73,57.59,126.17,791.4,81.3,36.02,31.58,97.62,119.08,135.74,34.68,62.9,150.35,67.21,15.98,50.43,770.62,134.23,94.26,97.38,129.9,179.98,31.2,88.31,43.35,86.84,100.21,121,113.82,53.8,40.96
2016-09-02,107.73,57.67,126.51,796.87,82,36.08,31.83,97.89,119.32,136.61,34.77,62.98,150.72,67.49,16,50.55,772.44,135.15,94.42,97.38,131.16,180.81,31.29,88.2,43.66,87.42,100.93,123.13,115.09,54.18,40.95
2016-09-06,107.7,57.61,129.73,808.02,82.53,36.57,31.87,98.79,119.75,135.97,34.77,63.24,150.43,67.44,15.78,49.99,788.87,134.1,93.8,100.09,132.99,180.46,31.05,88.64,43.79,88.57,102.43,125.29,117.15,53.9,41.23
2016-09-07,108.36,57.66,131.05,807.99,83.24,36.46,31.79,99.57,119.61,134.99,34.84,62.87,149.58,67.16,15.7,49.77,784.48,132.79,93.71,99.15,132.64,179.75,31.06,87.95,43.64,88.24,102.88,125.06,116.83,53.9,41.27
2016-09-08,105.52,57.43,130.27,802.84,82.97,36.44,31.47,99.98,119.47,135.44,34.72,63.24,149.78,67.25,15.86,49.9,784.06,131.26,94.09,99.66,132.9,180.1,31.04,87.78,43.63,89.05,104.12,125.38,116.25,54.29,41.19
2016-09-09,103.13,56.21,127.1,788.48,81.33,35.44,30.85,98.15,118.23,133.62,34.1,62.49,146.62,66.65,15.74,48.72,760.14,127.74,92.42,96.5,128.53,175.64,30.11,86.24,42.27,86.84,101.27,120.86,110.19,53.41,39.71
2016-09-12,105.44,57.05,128.69,798.82,82.97,36.08,31.44,100.11,119.16,135.53,34.65,63.19,148.97,67.06,15.9,48.54,771.49,128.59,93.64,99.05,130.12,178.1,30.49,88.25,43.19,87.29,102.25,123.29,111.27,52.91,40.71
2016-09-13,107.95,56.53,127.21,788.72,81.89,35.61,31.06,99.39,117.61,133.95,34.04,61.81,146.23,66.53,15.72,46.96,761.01,125.72,92.7,96.09,128.76,176.07,29.85,87.05,42.28,85.21,99.43,121.54,108.11,52.04,39.97
2016-09-14,111.77,56.26,127.77,790.46,81.49,35.62,31,98.71,117.86,133.69,33.94,61.35,145.78,66.4,15.63,46.52,761.09,126.26,92.26,97.01,127.67,175.62,29.7,87.01,42.11,84.6,98.42,122.1,108.37,52.38,39.89
2016-09-15,115.57,57.19,128.35,801.23,82.01,36.56,31.31,99.47,118.63,135.61,34.14,62.38,146.66,66.64,15.67,46.15,769.69,126.96,92.5,97.34,127.77,176.59,29.75,88.06,42.36,85.08,99.5,122.73,109.08,52.85,40.45
2016-09-16,114.92,57.25,129.07,797.97,82.07,37.67,30.84,99.36,118.25,138.47,33.94,62.28,145.01,65.82,15.49,45.43,778.52,126.11,92.56,99.48,126.7,175.06,29.68,88.05,42.14,84.03,97.84,123.32,108,52.72,40.2
2016-09-19,113.58,56.93,128.65,795.39,82.51,37.16,31.02,99.68,117.66,137.68,33.65,61.33,145.24,66.19,15.59,46.01,775.1,126.29,92.63,98.06,127.48,176.72,29.43,88.37,42.1,83.83,98.04,124.74,109.2,53.01,40.06
2016-09-20,113.57,56.81,128.64,799.78,82.48,37.14,31.1,100.49,117.95,137.47,33.81,61.94,144.92,66.46,15.6,46.56,780.22,126.83,92.95,98.25,127.79,177.6,29.67,88.58,42.34,82.54,97.7,125.07,108.65,52.57,39.96
2016-09-21,113.55,57.76,129.94,805.03,83.22,37.45,31.36,101.26,118.91,139.91,34.28,62.7,146.46,66.84,15.65,45.83,789.74,128.11,92.39,94.88,130.56,179.59,29.85,87.8,42.53,83.3,99.63,127.84,110.1,52.74,40.57
2016-09-22,114.62,57.82,130.08,815.95,83.36,37.55,31.66,102.12,119.46,141.04,34.15,63.02,146.53,67.39,15.6,45.72,804.7,128.75,93.41,95.83,131.87,179.85,30.04,88.99,42.96,83.54,99.98,128.03,112.28,52.56,41.11
2016-09-23,112.71,57.43,127.96,814.96,82.54,37.19,31.34,101.66,118.81,140.51,34.26,62.96,145,67.25,15.52,45.74,805.75,127.79,93.27,95.94,131.78,177.39,29.89,87.76,42.74,83.45,99.22,126.75,112.99,52.24,41.28
2016-09-26,112.88,56.9,127.31,802.65,81.81,36.65,31.07,101.16,117.78,139.72,33.64,62.15,144.18,65.78,15.09,44.88,799.16,125.45,91.96,94.56,130.57,175.95,29.54,87.85,42.05,83.06,98.78,126.23,112.69,52.13,41.14
2016-09-27,113.09,57.95,128.69,810.73,82.16,37.18,31.48,101.45,119.22,140.79,33.83,62.57,145.34,66.36,15.29,45.09,816.11,126.82,91.72,97.07,131.32,176.3,29.88,88.36,42.59,83.24,98.98,126.79,112.58,52.57,41.46
2016-09-28,113.95,58.03,129.23,810.06,82.97,37.44,31.5,101.51,119.39,140.41,33.99,63.3,145.28,66.71,15.38,45.31,828.72,128.27,92.2,97.48,132.23,177.59,29.9,89.46,42.15,86.9,102.15,126.48,112.63,52.33,40.85
2016-09-29,112.18,57.4,128.09,802.64,81.92,37.32,31.39,100.61,117.27,138.32,33.32,61.91,143.59,65.65,15.16,44.37,829.05,127.93,91.8,96.67,131.03,175.37,29.53,88.23,42.03,86.46,101.27,123.7,113.48,51.73,40.73
